id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
0501,Buffalo,Bills,BUF,DST,,49,DST,average,6.684,6,0.0860000000000003,1.27507803682755,5.09,8.2505,4
0501,Buffalo,Bills,BUF,DST,,49,DST,robust,6.627,8,0.0800000000000001,0.88956,5.09,8.2505,4
0501,Buffalo,Bills,BUF,DST,,49,DST,weighted,6.57059771428572,6,0.0428791437216347,1.37620652459631,4.82,8.07593313953488,4
0502,Indianapolis,Colts,IND,DST,,49,DST,average,5.689,30,0.440933333333334,0.960725073403763,4.155,6.4485,16
0502,Indianapolis,Colts,IND,DST,,49,DST,robust,5.75,28,0.0449999999999999,0.6627222,4.155,6.4485,16
0502,Indianapolis,Colts,IND,DST,,49,DST,weighted,5.63797485714286,30,0.408186306462071,1.04333585024847,3.84,6.43882978723404,16
0503,Miami,Dolphins,MIA,DST,,49,DST,average,6.3568,16,0.0323000000000002,0.267150145049558,5.9168,6.488,10
0503,Miami,Dolphins,MIA,DST,,49,DST,robust,6.225,19,0.0374999999999996,0.3795456,5.9168,6.488,10
0503,Miami,Dolphins,MIA,DST,,49,DST,weighted,6.29335933434191,15,0.0742347629133349,0.27664069384835,5.91,6.44636335403727,10
0504,New England,Patriots,NEP,DST,,49,DST,average,6.47366666666667,10,0.019333333333333,0.688031007053219,5.35,7.0005,9
0504,New England,Patriots,NEP,DST,,49,DST,robust,6.36,17,0.0715000000000003,0.6908916,5.35,7.0005,9
0504,New England,Patriots,NEP,DST,,49,DST,weighted,6.48732742857143,8,0.0471088571428568,0.766895368019047,5.2,6.99478723404255,9
0505,New York,Jets,NYJ,DST,,49,DST,average,6.3634,14,0.00516666666666676,1.33008901957726,4.73,7.3984,10
0505,New York,Jets,NYJ,DST,,49,DST,robust,6.4,16,0.0440000000000005,1.215732,4.73,7.3984,10
0505,New York,Jets,NYJ,DST,,49,DST,weighted,6.06578992435703,22,0.0432201210287442,1.32800097024101,4.7,7.23597325581395,10
